section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
2,2,10,20210909_Xyln_02_2.tif,1.128,1.196,0.798,0.603,172.711,0.921,1.323,0.756,0.946
2,2,11,20210909_Xyln_02_2.tif,4.192,1.269,0.787,0.651,9.852,0.909,1.208,0.828,0.925
2,2,12,20210909_Xyln_02_2.tif,2.501,1.605,0.757,0.609,32.357,0.912,1.243,0.805,0.929
2,2,13,20210909_Xyln_02_2.tif,6.616,1.555,0.776,0.574,150.128,0.896,1.352,0.74,0.936
2,2,14,20210909_Xyln_02_2.tif,4.819,1.675,0.778,0.565,13.123,0.885,1.378,0.726,0.933
2,2,15,20210909_Xyln_02_2.tif,5.772,1.716,0.9,0.563,7.427,0.858,1.6,0.625,0.931
2,2,16,20210909_Xyln_02_2.tif,0.916,2.01,1.428,0.637,131.495,0.456,2.241,0.446,0.808
2,2,17,20210909_Xyln_02_2.tif,1.665,1.779,0.79,0.583,167.551,0.901,1.355,0.738,0.938
2,2,18,20210909_Xyln_02_2.tif,3.223,1.869,0.798,0.56,8.197,0.875,1.425,0.702,0.925
2,2,19,20210909_Xyln_02_2.tif,4.161,1.86,0.344,0.218,133.229,0.924,1.576,0.635,0.905
2,2,20,20210909_Xyln_02_2.tif,5.09,2.217,0.854,0.542,3.508,0.869,1.575,0.635,0.94
2,2,21,20210909_Xyln_02_2.tif,6.241,2.316,1.077,0.609,1.544,0.803,1.769,0.565,0.928
2,2,22,20210909_Xyln_02_2.tif,2.716,2.386,0.731,0.599,158.502,0.938,1.221,0.819,0.939
2,2,23,20210909_Xyln_02_2.tif,3.702,2.412,0.768,0.541,179.181,0.873,1.419,0.705,0.925
2,2,24,20210909_Xyln_02_2.tif,1.955,2.49,0.696,0.572,154.586,0.908,1.218,0.821,0.933
2,2,25,20210909_Xyln_02_2.tif,5.352,2.736,0.91,0.472,7.385,0.784,1.928,0.519,0.912
2,2,26,20210909_Xyln_02_2.tif,0.709,2.827,0.811,0.488,169.654,0.85,1.662,0.602,0.926
2,2,27,20210909_Xyln_02_2.tif,4.23,2.905,0.832,0.542,167.97,0.89,1.534,0.652,0.946
2,2,28,20210909_Xyln_02_2.tif,3.283,2.913,0.721,0.481,172.604,0.904,1.497,0.668,0.941
2,2,29,20210909_Xyln_02_2.tif,6.251,2.931,0.873,0.492,2.408,0.823,1.776,0.563,0.916
2,2,30,20210909_Xyln_02_2.tif,1.66,3.005,0.846,0.48,148.248,0.827,1.765,0.567,0.926
2,2,31,20210909_Xyln_02_2.tif,2.494,3.09,0.7,0.597,163.619,0.953,1.172,0.853,0.944
2,2,32,20210909_Xyln_02_2.tif,1.172,3.358,0.699,0.541,179.135,0.903,1.292,0.774,0.925
2,2,33,20210909_Xyln_02_2.tif,3.889,3.41,0.842,0.475,158.342,0.847,1.771,0.565,0.942
