spp,wl,Transm
A.pras,745.589,0.97582
A.pras,745.863,0.97628
A.pras,746.137,0.97661
A.pras,746.411,0.97658
A.pras,746.684,0.97664
A.pras,746.958,0.97698
A.pras,747.232,0.97713
A.pras,747.506,0.97712
A.pras,747.779,0.97557
A.pras,748.053,0.97685
A.pras,748.327,0.97695
A.pras,748.601,0.97752
A.pras,748.874,0.97769
A.pras,749.148,0.97762
A.pras,749.422,0.97735
A.pras,749.695,0.97723
A.pras,749.969,0.97689
A.pras,750.243,0.97783
A.pras,750.517,0.97632
A.pras,750.79,0.97756
A.pras,751.064,0.97667
A.pras,751.338,0.97642
A.pras,751.611,0.97843
A.pras,751.885,0.97771
A.pras,752.159,0.97729
A.pras,752.433,0.97698
A.pras,752.706,0.97671
A.pras,752.98,0.97698
A.pras,753.254,0.97664
A.pras,753.527,0.97672
A.pras,753.801,0.97767
A.pras,754.075,0.97691
A.pras,754.348,0.97783
A.pras,754.622,0.97777
A.pras,754.896,0.97746
A.pras,755.169,0.97712
A.pras,755.443,0.97657
A.pras,755.717,0.97599
A.pras,755.99,0.97617
A.pras,756.264,0.97786
A.pras,756.538,0.97846
A.pras,756.811,0.97654
A.pras,757.085,0.97764
A.pras,757.359,0.97844
A.pras,757.632,0.97782
A.pras,757.906,0.97847
A.pras,758.18,0.97715
A.pras,758.453,0.97795
A.pras,758.727,0.97746
A.pras,759,0.97654
A.pras,759.274,0.97675
A.pras,759.548,0.97721
A.pras,759.821,0.97807
A.pras,760.095,0.97635
A.pras,760.369,0.9766
A.pras,760.642,0.97688
A.pras,760.916,0.97637
A.pras,761.189,0.9761
A.pras,761.463,0.9762
A.pras,761.737,0.97644
A.pras,762.01,0.97651
A.pras,762.284,0.97672
A.pras,762.557,0.97716
A.pras,762.831,0.97502
A.pras,763.105,0.97523
A.pras,763.378,0.97648
A.pras,763.652,0.97632
A.pras,763.925,0.9743
A.pras,764.199,0.975
A.pras,764.472,0.97578
A.pras,764.746,0.97517
A.pras,765.02,0.97392
A.pras,765.293,0.9738
A.pras,765.567,0.97488
A.pras,765.84,0.97445
A.pras,766.114,0.97459
A.pras,766.387,0.97379
A.pras,766.661,0.97385
A.pras,766.934,0.97415
A.pras,767.208,0.97386
A.pras,767.481,0.97519
A.pras,767.755,0.97387
A.pras,768.029,0.97274
A.pras,768.302,0.97272
A.pras,768.576,0.97319
A.pras,768.849,0.97319
A.pras,769.123,0.97374
A.pras,769.396,0.97269
A.pras,769.67,0.97198
A.pras,769.943,0.97257
A.pras,770.217,0.97293
A.pras,770.49,0.97179
A.pras,770.764,0.97119
A.pras,771.037,0.9725
A.pras,771.311,0.97112
A.pras,771.584,0.9709
A.pras,771.858,0.9712
A.pras,772.131,0.97109
A.pras,772.405,0.9695
A.pras,772.678,0.96967
A.pras,772.952,0.96978
A.pras,773.225,0.96992
A.pras,773.499,0.96941
A.pras,773.772,0.96797
A.pras,774.045,0.96813
A.pras,774.319,0.9677
A.pras,774.592,0.96695
A.pras,774.866,0.96798
A.pras,775.139,0.96842
A.pras,775.413,0.96661
A.pras,775.686,0.96686
A.pras,775.96,0.96694
A.pras,776.233,0.96586
A.pras,776.507,0.96559
A.pras,776.78,0.96604
A.pras,777.053,0.96583
A.pras,777.327,0.96603
A.pras,777.6,0.96564
